experiment_id,dataset,attack_strategy,fl_type,topology,node_count,dp_enabled,dp_epsilon,dp_privacy_level,attack_success,confidence_score,best_attack_type,comm_pattern_score,param_magnitude_score,topology_structure_score,topology_vulnerability,communication_complexity,dp_protection_effective,signal_strength_with_dp,size_category,attack_scalability_score,runtime_seconds
72,mnist,sensitive_groups,federated,complete,15,True,1.0,very_strong_dp,True,0.9333333333333333,Communication Pattern Attack,0.9333333333333333,0.0016913263600010374,0.25338287149334354,0.9333333333333333,105,False,0.9333333333333333,large,1.1199999999999999,32.59927701950073
73,mnist,sensitive_groups,decentralized,ring,15,True,1.0,very_strong_dp,True,0.8,Communication Pattern Attack,0.8,0.0017676288323625147,0.38119919053808793,0.8,15,False,0.8,large,0.96,33.464850187301636
74,mnist,sensitive_groups,decentralized,complete,15,True,1.0,very_strong_dp,True,0.9333333333333333,Communication Pattern Attack,0.9333333333333333,0.0014985948959940246,0.047580725394507715,0.9333333333333333,105,False,0.9333333333333333,large,1.1199999999999999,38.560224294662476
75,mnist,sensitive_groups,decentralized,line,15,True,1.0,very_strong_dp,True,0.8,Communication Pattern Attack,0.8,0.0021572592800202734,0.20692643076202827,0.8,14,False,0.8,large,0.96,33.39536142349243
76,mnist,sensitive_groups,federated,star,20,False,,no_dp,True,0.95,Communication Pattern Attack,0.95,0.00037289610709803005,0.7392544884946408,0.95,19,True,0.0,very_large,1.2349999999999999,28.18717312812805
77,mnist,sensitive_groups,decentralized,ring,20,False,,no_dp,True,0.85,Communication Pattern Attack,0.85,0.004636202647756425,0.4950323400888916,0.85,20,True,0.0,very_large,1.105,29.178442001342773
78,mnist,sensitive_groups,decentralized,line,20,False,,no_dp,True,0.85,Communication Pattern Attack,0.85,0.007201486926047641,0.43797005792129295,0.85,19,True,0.0,very_large,1.105,29.606746673583984
79,mnist,sensitive_groups,federated,star,20,True,16.0,weak_dp,True,0.95,Communication Pattern Attack,0.95,0.0005847436468240286,0.2767941089432485,0.95,19,False,0.95,very_large,1.2349999999999999,38.85111355781555
80,mnist,sensitive_groups,decentralized,ring,20,True,16.0,weak_dp,True,0.85,Communication Pattern Attack,0.85,0.0006010108867074972,0.11457798392240383,0.85,20,False,0.85,very_large,1.105,39.93655514717102
81,mnist,sensitive_groups,decentralized,line,20,True,16.0,weak_dp,True,0.85,Communication Pattern Attack,0.85,0.0006869650690557019,0.24704176093290187,0.85,19,False,0.85,very_large,1.105,39.25796461105347
82,mnist,sensitive_groups,federated,star,20,True,8.0,medium_dp,True,0.95,Communication Pattern Attack,0.95,0.0014253750315464703,0.3819057012007561,0.95,19,False,0.95,very_large,1.2349999999999999,36.950830936431885
83,mnist,sensitive_groups,decentralized,ring,20,True,8.0,medium_dp,True,0.85,Communication Pattern Attack,0.85,0.0009334773640607825,0.41664456327777755,0.85,20,False,0.85,very_large,1.105,38.597400188446045
84,mnist,sensitive_groups,decentralized,line,20,True,8.0,medium_dp,True,0.85,Communication Pattern Attack,0.85,0.0007737155907206781,0.4608945869606039,0.85,19,False,0.85,very_large,1.105,37.79265022277832
85,mnist,sensitive_groups,federated,star,20,True,4.0,strong_dp,True,0.95,Communication Pattern Attack,0.95,0.0010568457779287822,0.09362650796761253,0.95,19,False,0.95,very_large,1.2349999999999999,35.36646246910095
86,mnist,sensitive_groups,decentralized,ring,20,True,4.0,strong_dp,True,0.85,Communication Pattern Attack,0.85,0.0012894070877134886,0.6860598562534096,0.85,20,False,0.85,very_large,1.105,36.54117965698242
87,mnist,sensitive_groups,decentralized,line,20,True,4.0,strong_dp,True,0.85,Communication Pattern Attack,0.85,0.00121103639954733,0.5085370677775553,0.85,19,False,0.85,very_large,1.105,35.879385471343994
88,mnist,sensitive_groups,federated,star,20,True,1.0,very_strong_dp,True,0.95,Communication Pattern Attack,0.95,0.0019033203496585725,0.11067960219058241,0.95,19,False,0.95,very_large,1.2349999999999999,33.49696922302246
89,mnist,sensitive_groups,decentralized,ring,20,True,1.0,very_strong_dp,True,0.85,Communication Pattern Attack,0.85,0.0014892199244239093,0.3249246981033181,0.85,20,False,0.85,very_large,1.105,34.61788749694824
90,mnist,sensitive_groups,decentralized,line,20,True,1.0,very_strong_dp,True,0.85,Communication Pattern Attack,0.85,0.0018149486497852922,0.3741052811189003,0.85,19,False,0.85,very_large,1.105,34.24184060096741
91,mnist,sensitive_groups,federated,star,25,False,,no_dp,True,0.96,Communication Pattern Attack,0.96,0.000663571705755703,0.8282106265766572,0.96,24,True,0.0,very_large,1.3439999999999999,29.32818865776062
92,mnist,sensitive_groups,decentralized,ring,25,False,,no_dp,True,0.88,Communication Pattern Attack,0.88,0.009273700472066812,0.5789468834482815,0.88,25,True,0.0,very_large,1.232,31.372607469558716
93,mnist,sensitive_groups,decentralized,line,25,False,,no_dp,True,0.753630454813544,Topology Structure Attack,0.64,0.008971873905617206,0.753630454813544,0.753630454813544,24,True,0.0,very_large,1.0550826367389614,31.081249952316284
94,mnist,sensitive_groups,federated,star,25,True,16.0,weak_dp,True,0.96,Communication Pattern Attack,0.96,0.0007415569662330013,0.15489995982706492,0.96,24,False,0.96,very_large,1.3439999999999999,44.710814476013184
95,mnist,sensitive_groups,decentralized,ring,25,True,16.0,weak_dp,True,0.88,Communication Pattern Attack,0.88,0.0006680271590324014,0.18351222895023916,0.88,25,False,0.88,very_large,1.232,44.663114070892334
96,mnist,sensitive_groups,decentralized,line,25,True,16.0,weak_dp,True,0.64,Communication Pattern Attack,0.64,0.00046162653331716054,0.32928176454231844,0.64,24,False,0.64,very_large,0.8959999999999999,43.48619270324707
97,mnist,sensitive_groups,federated,star,25,True,8.0,medium_dp,True,0.96,Communication Pattern Attack,0.96,0.0007106003816527816,0.3597074061952212,0.96,24,False,0.96,very_large,1.3439999999999999,41.8310444355011
98,mnist,sensitive_groups,decentralized,ring,25,True,8.0,medium_dp,True,0.88,Communication Pattern Attack,0.88,0.0009361497782606183,0.1783539829311661,0.88,25,False,0.88,very_large,1.232,42.584458112716675
99,mnist,sensitive_groups,decentralized,line,25,True,8.0,medium_dp,True,0.64,Communication Pattern Attack,0.64,0.0005916935726482528,0.2254217320815012,0.64,24,False,0.64,very_large,0.8959999999999999,42.348342418670654
100,mnist,sensitive_groups,federated,star,25,True,4.0,strong_dp,True,0.96,Communication Pattern Attack,0.96,0.0011289530095418498,0.22918002328497863,0.96,24,False,0.96,very_large,1.3439999999999999,39.007139682769775
101,mnist,sensitive_groups,decentralized,ring,25,True,4.0,strong_dp,True,0.88,Communication Pattern Attack,0.88,0.0011551535470342774,0.21921457886501666,0.88,25,False,0.88,very_large,1.232,40.00479006767273
102,mnist,sensitive_groups,decentralized,line,25,True,4.0,strong_dp,True,0.64,Communication Pattern Attack,0.64,0.0008984810284870622,0.35192271356073535,0.64,24,False,0.64,very_large,0.8959999999999999,39.60674738883972
103,mnist,sensitive_groups,federated,star,25,True,1.0,very_strong_dp,True,0.96,Communication Pattern Attack,0.96,0.0017654983406885161,0.12648356856714243,0.96,24,False,0.96,very_large,1.3439999999999999,35.900161266326904
104,mnist,sensitive_groups,decentralized,ring,25,True,1.0,very_strong_dp,True,0.88,Communication Pattern Attack,0.88,0.0018431262945289755,0.4303671646308133,0.88,25,False,0.88,very_large,1.232,37.00979661941528
105,mnist,sensitive_groups,decentralized,line,25,True,1.0,very_strong_dp,True,0.64,Communication Pattern Attack,0.64,0.0021570289407320197,0.14845239572961938,0.64,24,False,0.64,very_large,0.8959999999999999,35.586063861846924
106,mnist,topology_correlated,federated,star,10,False,,no_dp,True,0.9,Communication Pattern Attack,0.9,0.0010355803348445782,0.21147016208749855,0.9,9,True,0.0,medium,0.9900000000000001,27.584425687789917
107,mnist,topology_correlated,federated,complete,10,False,,no_dp,True,0.9,Communication Pattern Attack,0.9,0.0008694021264037629,0.35145262676230493,0.9,45,True,0.0,medium,0.9900000000000001,27.438493967056274
108,mnist,topology_correlated,decentralized,ring,10,False,,no_dp,True,0.7,Communication Pattern Attack,0.7,0.013911112632577594,0.5789118177732553,0.7,10,True,0.0,medium,0.77,28.88111400604248
109,mnist,topology_correlated,decentralized,complete,10,False,,no_dp,True,0.9,Communication Pattern Attack,0.9,0.011098127750417863,0.36518410921010613,0.9,45,True,0.0,medium,0.9900000000000001,30.182311296463013
110,mnist,topology_correlated,decentralized,line,10,False,,no_dp,True,0.7,Communication Pattern Attack,0.7,0.012460607309033827,0.3113144407298448,0.7,9,True,0.0,medium,0.77,29.448307991027832
111,mnist,topology_correlated,federated,star,10,True,16.0,weak_dp,True,0.9,Communication Pattern Attack,0.9,0.0005936422538979813,0.12926435145018195,0.9,9,False,0.9,medium,0.9900000000000001,37.210505962371826
112,mnist,topology_correlated,federated,complete,10,True,16.0,weak_dp,True,0.9,Communication Pattern Attack,0.9,0.0012106332211238465,0.22814046982745093,0.9,45,False,0.9,medium,0.9900000000000001,37.66152262687683
113,mnist,topology_correlated,decentralized,ring,10,True,16.0,weak_dp,True,0.7,Communication Pattern Attack,0.7,0.001425936640062143,0.34641717308553227,0.7,10,False,0.7,medium,0.77,38.52702069282532
114,mnist,topology_correlated,decentralized,complete,10,True,16.0,weak_dp,True,0.9,Communication Pattern Attack,0.9,0.00117833475681839,0.3363818767610184,0.9,45,False,0.9,medium,0.9900000000000001,39.55027747154236
115,mnist,topology_correlated,decentralized,line,10,True,16.0,weak_dp,True,0.7,Communication Pattern Attack,0.7,0.0005579095499116192,0.3534359724778544,0.7,9,False,0.7,medium,0.77,37.57254433631897
116,mnist,topology_correlated,federated,star,10,True,8.0,medium_dp,True,0.9,Communication Pattern Attack,0.9,0.0011325162555281439,0.5478406998861121,0.9,9,False,0.9,medium,0.9900000000000001,36.581756591796875
117,mnist,topology_correlated,federated,complete,10,True,8.0,medium_dp,True,0.9,Communication Pattern Attack,0.9,0.0011471570574748452,0.33296806169165055,0.9,45,False,0.9,medium,0.9900000000000001,36.236305713653564
118,mnist,topology_correlated,decentralized,ring,10,True,8.0,medium_dp,True,0.7,Communication Pattern Attack,0.7,0.0009337193700242894,0.5359307130096688,0.7,10,False,0.7,medium,0.77,36.31949186325073
119,mnist,topology_correlated,decentralized,complete,10,True,8.0,medium_dp,True,0.9,Communication Pattern Attack,0.9,0.0010954479152022701,0.19409988371740994,0.9,45,False,0.9,medium,0.9900000000000001,38.50806713104248
120,mnist,topology_correlated,decentralized,line,10,True,8.0,medium_dp,True,0.7,Communication Pattern Attack,0.7,0.0015684247950343603,0.34426134593874924,0.7,9,False,0.7,medium,0.77,37.80758714675903
121,mnist,topology_correlated,federated,star,10,True,4.0,strong_dp,True,0.9,Communication Pattern Attack,0.9,0.00158321677030951,0.5066198880151329,0.9,9,False,0.9,medium,0.9900000000000001,35.05727672576904
122,mnist,topology_correlated,federated,complete,10,True,4.0,strong_dp,True,0.9,Communication Pattern Attack,0.9,0.0015556035327962247,0.39415012621731704,0.9,45,False,0.9,medium,0.9900000000000001,34.68125605583191
123,mnist,topology_correlated,decentralized,ring,10,True,4.0,strong_dp,True,0.7,Communication Pattern Attack,0.7,0.0017492600246012625,0.3722184918676864,0.7,10,False,0.7,medium,0.77,34.738219261169434
124,mnist,topology_correlated,decentralized,complete,10,True,4.0,strong_dp,True,0.9,Communication Pattern Attack,0.9,0.0006486051336058562,0.44205832122056554,0.9,45,False,0.9,medium,0.9900000000000001,37.27596402168274
125,mnist,topology_correlated,decentralized,line,10,True,4.0,strong_dp,True,0.7,Communication Pattern Attack,0.7,0.0012409000127589598,0.5045955776758649,0.7,9,False,0.7,medium,0.77,34.63471961021423
