Dataset,FL Type,Topology,Nodes,DP,Epsilon,Attack Strategy,Attack Success,Confidence,Best Attack Type
MNIST,Federated,Star,15,Yes,1.0,Imbalanced Sensitive,Yes,0.933,Communication Pattern Attack
MNIST,Federated,Complete,15,Yes,1.0,Imbalanced Sensitive,Yes,0.933,Communication Pattern Attack
MNIST,Decentralized,Ring,15,Yes,1.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Decentralized,Complete,15,Yes,1.0,Imbalanced Sensitive,Yes,0.933,Communication Pattern Attack
MNIST,Decentralized,Line,15,Yes,1.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Federated,Star,20,No,,Imbalanced Sensitive,Yes,0.950,Communication Pattern Attack
MNIST,Decentralized,Ring,20,No,,Imbalanced Sensitive,Yes,0.850,Communication Pattern Attack
MNIST,Decentralized,Line,20,No,,Imbalanced Sensitive,Yes,0.850,Communication Pattern Attack
MNIST,Federated,Star,20,Yes,16.0,Imbalanced Sensitive,Yes,0.950,Communication Pattern Attack
MNIST,Decentralized,Ring,20,Yes,16.0,Imbalanced Sensitive,Yes,0.850,Communication Pattern Attack
MNIST,Decentralized,Line,20,Yes,16.0,Imbalanced Sensitive,Yes,0.850,Communication Pattern Attack
MNIST,Federated,Star,20,Yes,8.0,Imbalanced Sensitive,Yes,0.950,Communication Pattern Attack
MNIST,Decentralized,Ring,20,Yes,8.0,Imbalanced Sensitive,Yes,0.850,Communication Pattern Attack
MNIST,Decentralized,Line,20,Yes,8.0,Imbalanced Sensitive,Yes,0.850,Communication Pattern Attack
MNIST,Federated,Star,20,Yes,4.0,Imbalanced Sensitive,Yes,0.950,Communication Pattern Attack
MNIST,Decentralized,Ring,20,Yes,4.0,Imbalanced Sensitive,Yes,0.850,Communication Pattern Attack
MNIST,Decentralized,Line,20,Yes,4.0,Imbalanced Sensitive,Yes,0.850,Communication Pattern Attack
MNIST,Federated,Star,20,Yes,1.0,Imbalanced Sensitive,Yes,0.950,Communication Pattern Attack
MNIST,Decentralized,Ring,20,Yes,1.0,Imbalanced Sensitive,Yes,0.850,Communication Pattern Attack
MNIST,Decentralized,Line,20,Yes,1.0,Imbalanced Sensitive,Yes,0.850,Communication Pattern Attack
MNIST,Federated,Star,25,No,,Imbalanced Sensitive,Yes,0.960,Communication Pattern Attack
MNIST,Decentralized,Ring,25,No,,Imbalanced Sensitive,Yes,0.880,Communication Pattern Attack
MNIST,Decentralized,Line,25,No,,Imbalanced Sensitive,Yes,0.640,Communication Pattern Attack
MNIST,Federated,Star,25,Yes,16.0,Imbalanced Sensitive,Yes,0.960,Communication Pattern Attack
MNIST,Decentralized,Ring,25,Yes,16.0,Imbalanced Sensitive,Yes,0.880,Communication Pattern Attack
MNIST,Decentralized,Line,25,Yes,16.0,Imbalanced Sensitive,Yes,0.640,Communication Pattern Attack
MNIST,Federated,Star,25,Yes,8.0,Imbalanced Sensitive,Yes,0.960,Communication Pattern Attack
MNIST,Decentralized,Ring,25,Yes,8.0,Imbalanced Sensitive,Yes,0.880,Communication Pattern Attack
MNIST,Decentralized,Line,25,Yes,8.0,Imbalanced Sensitive,Yes,0.640,Communication Pattern Attack
MNIST,Federated,Star,25,Yes,4.0,Imbalanced Sensitive,Yes,0.960,Communication Pattern Attack
MNIST,Decentralized,Ring,25,Yes,4.0,Imbalanced Sensitive,Yes,0.880,Communication Pattern Attack
MNIST,Decentralized,Line,25,Yes,4.0,Imbalanced Sensitive,Yes,0.640,Communication Pattern Attack
MNIST,Federated,Star,25,Yes,1.0,Imbalanced Sensitive,Yes,0.960,Communication Pattern Attack
MNIST,Decentralized,Ring,25,Yes,1.0,Imbalanced Sensitive,Yes,0.880,Communication Pattern Attack
MNIST,Decentralized,Line,25,Yes,1.0,Imbalanced Sensitive,Yes,0.640,Communication Pattern Attack
SKIN_LESION,Decentralized,Complete,5,No,,Sensitive Groups,Yes,0.800,Communication Pattern Attack
SKIN_LESION,Decentralized,Line,5,No,,Sensitive Groups,Yes,0.800,Communication Pattern Attack
SKIN_LESION,Federated,Star,10,No,,Sensitive Groups,Yes,1.000,Topology Structure Attack
SKIN_LESION,Federated,Complete,10,No,,Sensitive Groups,Yes,0.900,Communication Pattern Attack
SKIN_LESION,Decentralized,Ring,10,No,,Sensitive Groups,Yes,0.700,Communication Pattern Attack
SKIN_LESION,Federated,Star,15,No,,Sensitive Groups,Yes,1.000,Topology Structure Attack
SKIN_LESION,Federated,Complete,15,No,,Sensitive Groups,Yes,0.933,Communication Pattern Attack
